year,합계,탁주,약주,청주,맥주,과실주,증류식 소주,희석식 소주,위스키,브랜디,일반 증류주,리큐르,기타 주류,주정
2005,2568689,6648,47317,23188,1267590,47088,2097,816308,316081,11259,11110,16259,1250,2494
2006,2490665,6799,42892,21782,1152754,55419,2037,866154,302794,10167,11432,14070,1821,2544
2007,2322210,7138,34922,20388,1124189,32623,2403,907325,177041,19,7556,4545,1349,2712
2008,2718171,7350,29014,21505,1244431,91640,2670,972348,306370,9751,15031,13372,2027,2662
2009,2655742,11301,24290,24426,1264651,75526,2751,957026,253706,8193,16611,12377,2149,2735
2010,2702077,19448,21175,26001,1289116,71147,3527,968083,264510,8501,14647,10566,2737,2619
2011,2738119,21971,21908,27460,1346794,73523,3281,968300,234546,7112,16619,11404,2747,2454
2012,2839019,21444,18464,27486,1430242,72473,3387,1011468,204417,5309,20776,17968,3174,2411
2013,2978129,20345,17119,29600,1544699,81381,4015,1052401,171016,5640,25864,19981,3742,2326
2014,3092694,20580,14667,29404,1568691,83207,4857,1138898,172174,4702,28889,19453,4814,2358
2015,3226966,20204,13557,28051,1608517,87680,6573,1171309,167310,4939,27825,82663,5970,2368
2016,3237543,19504,13475,29432,1602639,96572,8402,1212082,149588,5771,28279,49158,20431,2210
2017,3275420,19172,11984,28906,1635590,93890,11185,1243197,127508,5089,30284,27042,39468,2105
2018,3228505,19713,12625,31108,1581410,101532,11354,1223024,124176,5150,30087,22318,63784,2224
2019,3205406,19003,12209,28358,1504237,112796,12937,1263613,123103,5295,32209,23166,66217,2263
2020,3038417,18760,10461,26278,1336363,141300,14943,1251997,112023,5575,27876,18943,70570,3328
